Address,Latitude,Longitude
222 5th Ave N Seattle WA 98109 USA,47.6204829,-122.3471317
5146 25th Ave NE Seattle WA 98105 USA,47.6677154,-122.3003557
1530 3rd Ave Seattle WA 98101 USA,47.6106804,-122.3382694
2147 N Northgate Way Seattle WA 98133 USA,47.7083084,-122.3316609
2401 4th Ave S Seattle WA 98134 USA,47.5813402,-122.3295391
2580 SW Barton St Seattle WA 98126 USA,47.5214784,-122.3663176
5400 14th Ave NW Seattle WA 98107 USA,47.6682251,-122.3731076
9304 Rainier Ave S Seattle WA 98118 USA,47.5202773,-122.2669391
2336 25th Ave S Seattle WA 98144 USA,47.5816353,-122.300031
3003 California Ave SW Seattle WA 98116 USA,47.5766734,-122.3870114
6305 Martin Luther King Jr Way S Seattle WA 98118 USA,47.5455616,-122.2859972
6546 California Ave SW Seattle WA 98136 USA,47.5432932,-122.3869417
9000 Holman Rd NW Seattle WA 98117 USA,47.6944403,-122.3751747
9610 Des Moines Memorial Dr S Seattle WA 98108 USA,47.5167296,-122.3145164
"3301 4th Ave S, Seattle, WA 98134, United States",47.5740704,-122.3295971
"2021 Rainier Ave S, Seattle, WA 98144, United States",47.5847243,-122.3036525
"13241 Aurora Ave N, Seattle, WA 98133, United States",47.7246495,-122.3454921
"14340 15th Ave NE, Seattle, WA 98125, United States",47.7333089,-122.3122284
1110 N 90th St Seattle WA 98103 USA,47.6944365,-122.3439774
5918 15th Ave NW Seattle WA 98107 USA,47.6721049,-122.3758932
210 W Mercer St Seattle WA 98119 USA,47.624364,-122.3596011
10711 16th Ave SW Seattle WA 98146 USA,47.5067204,-122.3553816
2201 4th Ave S Seattle WA 98134 USA,47.5838124,-122.3295691
9401 Rainier Ave S Seattle WA 98118 USA,47.5196638,-122.2646845
14506 Bothell Way NE Seattle WA 98155 USA,47.7340718,-122.2921141
401 NE Northgate Way Seattle WA 98125 USA,47.7082746,-122.3237414
"2543 Rainier Ave S, Seattle, WA 98144, United States",47.5797794,-122.2996734
"11744 Lake City Way NE, Seattle, WA 98125, United States",47.7150417,-122.2973343
"5315 15th Ave NW, Seattle, WA 98107, United States",47.6677495,-122.376671
