link,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute,link1,ZestYear 2015,ZestPrice 2015,ZestYear 2020,ZestPrice 2020
https://www.zillow.com/homedetails/2318-Belvidere-Ave-SW-Seattle-WA-98126/49124531_zpid/,2318 Belvidere Ave SW Seattle WA 98126,47.582848,-122.37916,3750000,5,5,6090,2020,8/7/2020,3750000,5/7/2020,4025000,12/15/2015,769950,9/29/2015,759950,9/24/2015,759950,9/6/2015,799000,6/16/2015,567500,1,https://www.zillow.com/homedetails/2318-Belvidere-Ave-SW-Seattle-WA-98126/49124531_zpid/,2015,693.4,2020,1400
https://www.zillow.com/homedetails/3914-W-Barrett-St-Seattle-WA-98199/48765667_zpid/,3914 W Barrett St Seattle WA 98199,47.6475035,-122.4076414,3695000,5,8,7240,2002,8/4/2020,3695000,6/21/2020,3895000,2/9/2020,4995000,6/4/2019,4995000,12/19/2018,4250000,4/27/2018,4250000,9/26/2017,5950000,2,https://www.zillow.com/homedetails/3914-W-Barrett-St-Seattle-WA-98199/48765667_zpid/,2015,2500,2020,4700
https://www.zillow.com/homedetails/8600-Aurora-Ave-N-Seattle-WA-98103/2113705470_zpid/,8600 Aurora Ave N Seattle WA 98103,47.6914156,-122.3442549,3695000,5,6,9671,1952,5/8/2020,3695000,6/2/2019,3739000,2/13/2019,3739000,10/11/2018,3750000,3/6/2018,3800000,9/1/2017,3395000,1/17/2017,3395000,3,https://www.zillow.com/homedetails/8600-Aurora-Ave-N-Seattle-WA-98103/2113705470_zpid/,2015,951.6,2020,1200
https://www.zillow.com/homedetails/1105-Shenandoah-Dr-E-Seattle-WA-98112/48706630_zpid/,1105 Shenandoah Dr E Seattle WA 98112,47.6295364,-122.288819,3595000,4,4,5300,1933,8/29/2020,3595000,7/17/2020,3750000,5/2/2007,4525000,9/26/2003,1550000,,,,,,,4,https://www.zillow.com/homedetails/1105-Shenandoah-Dr-E-Seattle-WA-98112/48706630_zpid/,2015,2400,2020,2800
https://www.zillow.com/homedetails/2812-Mount-Saint-Helens-Pl-S-Seattle-WA-98144/48974101_zpid/,2812 Mount Saint Helens Pl S Seattle WA 98144,47.5780058,-122.286354,3595000,8,7,9090,1911,8/12/2020,3595000,5/14/2020,3650000,3/3/2005,1736000,,,,,,,,,5,https://www.zillow.com/homedetails/2812-Mount-Saint-Helens-Pl-S-Seattle-WA-98144/48974101_zpid/,2015,2300,2020,3700
https://www.zillow.com/homedetails/524-18th-Ave-E-Seattle-WA-98112/48930205_zpid/,524 18th Ave E Seattle WA 98112,47.6240273,-122.3083628,3550000,6,6,4240,2020,8/14/2020,3550000,7/16/2020,3795000,8/29/2017,1025000,8/18/2017,950000,8/13/2017,950000,,,,,6,https://www.zillow.com/homedetails/524-18th-Ave-E-Seattle-WA-98112/48930205_zpid/,2015,777.5,2020,1100
https://www.zillow.com/homedetails/1707-Parkside-Dr-E-Seattle-WA-98112/48706472_zpid/,1707 Parkside Dr E Seattle WA 98112,47.6349266,-122.2911529,3495000,4,4,4190,1951,9/9/2020,3495000,8/2/2020,3700000,2/28/2003,995000,9/21/1998,885000,,,,,,,7,https://www.zillow.com/homedetails/1707-Parkside-Dr-E-Seattle-WA-98112/48706472_zpid/,2015,2200,2020,3100
https://www.zillow.com/homedetails/1131-23rd-Ave-E-Seattle-WA-98112/48725543_zpid/,1131 23rd Ave E Seattle WA 98112,47.6296534,-122.3026142,3495000,7,5,5003,1922,9/6/2020,3495000,7/13/2020,3450000,7/7/2020,3450000,5/15/2018,1575000,,,,,,,8,https://www.zillow.com/homedetails/1131-23rd-Ave-E-Seattle-WA-98112/48725543_zpid/,2015,1500,2020,1600
https://www.zillow.com/homedetails/1938-11th-Ave-W-Seattle-WA-98119/2092358995_zpid/,1938 11th Ave W Seattle WA 98119,47.6372228,-122.3713105,3400000,6,6,8129,1909,6/10/2020,3400000,8/22/2018,3700000,4/21/2018,3700000,3/14/2018,2700,3/13/2018,2700,1/13/2018,3850000,11/3/2017,3850000,9,https://www.zillow.com/homedetails/1938-11th-Ave-W-Seattle-WA-98119/2092358995_zpid/,2015,896.6,2020,3100
https://www.zillow.com/homedetails/326-Highland-Dr-Seattle-WA-98109/48766331_zpid/,326 Highland Dr Seattle WA 98109,47.6299047,-122.350043,3350000,3,4,3730,1921,4/24/2020,3350000,3/23/2020,3350000,3/3/2020,3350000,10/16/1997,840000,,,,,,,10,https://www.zillow.com/homedetails/326-Highland-Dr-Seattle-WA-98109/48766331_zpid/,2015,1600,2020,2000
