Address,Latitude,Longitude
3801 Discovery Park Blvd Seattle WA 98199 USA,47.661979,-122.4357206
950 NW Carkeek Park Rd Seattle WA 98177 USA,47.7115453,-122.3686897
2300 Arboretum Dr E Seattle WA 98112 USA,47.639717,-122.2944607
3130 Alaskan Way Seattle WA 98121 USA,47.6150336,-122.3547823
7201 East Green Lake Dr N Seattle WA 98115 USA,47.6802132,-122.3283188
211 W Highland Dr Seattle WA 98119 USA,47.6294868,-122.3599122
1247 15th Ave E Seattle WA 98112 USA,47.6290253,-122.3145744
2901 Western Ave Seattle WA 98121 USA,47.6163992,-122.3541031
7400 Sand Point Way NE Seattle WA 98115 USA,47.681796,-122.2633252
8011 Fauntleroy Way SW Seattle WA 98136 USA,47.531497,-122.392876
2101 N Northlake Way Seattle WA 98103 USA,47.6462297,-122.3336997
8498 Seaview Pl NW Seattle WA 98117 USA,47.6917734,-122.40397
100 Dexter Ave N Seattle WA 98109 USA,47.619069,-122.3419191
1800 Lake Washington Blvd S Seattle WA 98144 USA,47.586835,-122.287727
853 Lake Washington Blvd Seattle WA 98122 USA,47.6103774,-122.2836612
1401 Alaskan Way Seattle WA 98101 USA,47.60704,-122.3418276
860 Terry Ave N Seattle WA 98109 USA,47.6276176,-122.3365807
860 Terry Ave N Seattle WA 98109 USA,47.6276176,-122.3365807
5520 Ravenna Ave NE Seattle WA 98105 USA,47.6688558,-122.3038931
2665 Alki Ave SW Seattle WA 98116 USA,47.5798356,-122.4084891
1809 7th Ave Seattle WA 98101 USA,47.6137368,-122.3358142
151 Lake Washington Blvd E Seattle WA 98112 USA,47.619238,-122.2821609
750 S Homer St Seattle WA 98108 USA,47.5515923,-122.3214421
4219 Wallingford Ave N Seattle WA 98103 USA,47.6586714,-122.3362427
USA 〒98144 Washington Seattle,47.5845757,-122.303649
3330 W Commodore Way Seattle WA 98107 USA,47.6653249,-122.4001468
899 W Olympic Pl Seattle WA 98119 USA,47.627315,-122.366882
9000 8th Ave SW Seattle WA 98106 USA,47.5224313,-122.3434666
7531 34th Ave NW Seattle WA 98117 USA,47.6835005,-122.4004234
2601 W Smith St Seattle WA 98199 USA,47.6404328,-122.3910141
1606 15th Ave E Seattle WA 98102 USA,47.6344457,-122.3126203
1191 7th Ave W Seattle WA 98119 USA,47.6294779,-122.3668144
37 Alki Trail Seattle WA 98126 USA,47.594979,-122.3876567
650 W Highland Dr Seattle WA 98119 USA,47.6298489,-122.3660253
1215 5th Ave N Seattle WA 98109 USA,47.6304929,-122.3486605
1215 5th Ave N Seattle WA 98109 USA,47.6304929,-122.3486605
4649 Sunnyside Ave N Seattle WA 98103 USA,47.6638818,-122.331229
4649 Sunnyside Ave N Seattle WA 98103 USA,47.6638818,-122.331229
1136 S Albro Pl Seattle WA 98108 USA,47.5464302,-122.3169504
923 NW 54th St Seattle WA 98107 USA,47.6674414,-122.369546
903 Yesler Way Seattle WA 98122 USA,47.6013254,-122.3207707
Unnamed Road Seattle WA 98101 USA,47.61046,-122.3346075
333 Pontius Ave N Seattle WA 98109 USA,47.6217092,-122.3319874
1120 California Way SW Seattle WA 98116 USA,47.5938797,-122.386888
4357 Palatine Ave N Seattle WA 98103 USA,47.6611865,-122.3564206
4767 Puget Way SW Seattle WA 98106 USA,47.5599289,-122.357147
1100 SW Cloverdale St Seattle WA 98106 USA,47.5274604,-122.3486475
6612 57th Ave S Seattle WA 98118 USA,47.542398,-122.2600542
4458 Delridge Way SW Seattle WA 98106 USA,47.563025,-122.3632752
2351 W Marina Pl Seattle WA 98199 USA,47.6310671,-122.3921304
835 Yesler Way Seattle WA 98104 USA,47.6014943,-122.3210105
2521 Lake Park Dr S Seattle WA 98144 USA,47.5809164,-122.288638
1201 University St Seattle WA 98101 USA,47.6119174,-122.3255449
270 W Prospect St Seattle WA 98119 USA,47.628825,-122.360358
201 20th Ave S Seattle WA 98144 USA,47.6008316,-122.3063589
7017 Beach Dr SW Seattle WA 98136 USA,47.5401679,-122.3967531
